Storytelling using Data,Documentary Requirements Completion,03/04/2020,03/24/2020,,,,
Storytelling using Data,Video Content Production Shoots,03/25/2020,04/07/2020,,,,
Storytelling using Data,Video Content Post-production,04/08/2020,05/06/2020,,,,
Storytelling using Data,Beta Testing,05/07/2020,05/20/2020,,,,
Storytelling using Data,Launch,05/21/2020,05/25/2020,,,,
Data Visualization using Python and Tableau,SME Onboarding,12/03/2019,12/06/2019,12/03/2019,12/06/2019,Completed,
Data Visualization using Python and Tableau,Documentary Requirements Completion,02/03/2020,02/21/2020,02/04/2020,,In-progress,
Data Visualization using Python and Tableau,Video Content Production Shoots,02/24/2020,03/09/2020,,,Not Started,
Data Visualization using Python and Tableau,Video Content Post-production,03/10/2020,04/02/2020,,,Not Started,
Data Visualization using Python and Tableau,Beta Testing,04/03/2020,04/20/2020,,,Not Started,
Data Visualization using Python and Tableau,Launch,04/21/2020,04/23/2020,,,Not Started,
Experimental Design and Analysis,SME Onboarding,11/19/2019,11/22/2019,,,,
Experimental Design and Analysis,Documentary Requirements Completion,03/10/2020,03/30/2020,,,,
Experimental Design and Analysis,Video Content Production Shoots,03/31/2020,04/15/2020,,,,
Experimental Design and Analysis,Video Content Post-production,04/16/2020,05/12/2020,,,,
Experimental Design and Analysis,Beta Testing,05/13/2020,05/26/2020,,,,
Experimental Design and Analysis,Launch,05/27/2020,05/29/2020,,,,
Python for Data Engineering,SME Onboarding,01/07/2020,01/13/2020,01/07/2020,01/13/2020,Completed,
Python for Data Engineering,Documentary Requirements Completion,01/14/2020,02/05/2020,,,In-progress,
Python for Data Engineering,Video Content Production Shoots,02/10/2020,02/14/2020,,,Not Started,Reschedule due to output freeze unti AAP Project Resources' LOI sign-off and payment
Python for Data Engineering,Video Content Post-production,02/17/2020,03/12/2020,,,Not Started,
Python for Data Engineering,Beta Testing,03/13/2020,03/26/2020,,,Not Started,
Python for Data Engineering,Launch,03/27/2020,03/31/2020,,,Not Started,
Advanced Data Engineering,SME Onboarding,01/07/2020,01/13/2020,,,,
Advanced Data Engineering,Documentary Requirements Completion,02/05/2020,02/26/2020,,,,
Advanced Data Engineering,Video Content Production Shoots,02/27/2020,03/11/2020,,,,
Advanced Data Engineering,Video Content Post-production,03/12/2020,04/06/2020,,,,
Advanced Data Engineering,Beta Testing,04/07/2020,04/22/2020,,,,
Advanced Data Engineering,Launch,04/23/2020,04/27/2020,,,,
Statistical Analysis and Modeling using SQL and Python,SME Onboarding,01/07/2020,01/13/2020,,,,
Statistical Analysis and Modeling using SQL and Python,Documentary Requirements Completion,03/12/2020,04/01/2020,,,,
Statistical Analysis and Modeling using SQL and Python,Video Content Production Shoots,04/02/2020,04/17/2020,,,,
Statistical Analysis and Modeling using SQL and Python,Video Content Post-production,04/20/2020,05/14/2020,,,,
Statistical Analysis and Modeling using SQL and Python,Beta Testing,05/15/2020,05/28/2020,,,,
Statistical Analysis and Modeling using SQL and Python,Launch,05/29/2020,06/02/2020,,,,
Data Science and Machine Learning using Python,SME Onboarding,12/04/2019,12/06/2019,,,,
Data Science and Machine Learning using Python,Documentary Requirements Completion,03/02/2020,03/20/2020,,,,
